run_id,escala,prevalencia,seed,modelo,F1,AUCPR,Brier,Accuracy
V100k_P1_S1337,100000,0.01,1337,Adapt+Multi,0.49645309601864135,0.6122109239430842,0.14179489746275706,0.8006067002524717
V100k_P1_S1337,100000,0.01,1337,Adaptativo,0.48976832003851634,0.595041854548343,0.14376517337465564,0.7965734376355439
V100k_P1_S1337,100000,0.01,1337,Trad+Multi,0.5685603750707916,0.708073443233328,0.18617654525491456,0.8136188432219216
V100k_P1_S1337,100000,0.01,1337,Tradicional,0.5687447914792809,0.6908555695895179,0.1860296387189858,0.8138613930581347
V100k_P1_S2025,100000,0.01,2025,Adapt+Multi,0.48638063082773175,0.5938102928533806,0.1430908439401775,0.8007258958847563
V100k_P1_S2025,100000,0.01,2025,Adaptativo,0.503919062282692,0.5923287350902123,0.14485944204113227,0.7937533664941305
V100k_P1_S2025,100000,0.01,2025,Trad+Multi,0.5650991265702126,0.7090774225263636,0.17845952624978778,0.8169679543006005
V100k_P1_S2025,100000,0.01,2025,Tradicional,0.5627287135889225,0.7063154483716428,0.1784809832015175,0.8164751013233299
V100k_P1_S42,100000,0.01,42,Adapt+Multi,0.47864119507424147,0.5958000536164151,0.14307570607323936,0.8022680672114304
V100k_P1_S42,100000,0.01,42,Adaptativo,0.47087841455199686,0.5868084225146527,0.1454794746769108,0.798821754805707
V100k_P1_S42,100000,0.01,42,Trad+Multi,0.5607278961048167,0.7145368521411894,0.17530562326438628,0.8174588300457176
V100k_P1_S42,100000,0.01,42,Tradicional,0.5561786602267311,0.7132456990595445,0.17489541548031487,0.8161920733853132
V100k_P5_S1337,100000,0.05,1337,Adapt+Multi,0.7108385559226488,0.7945800228047922,0.14077768501352922,0.8030817705135989
V100k_P5_S1337,100000,0.05,1337,Adaptativo,0.7080376690647664,0.794738398645255,0.14385678674086652,0.784735029639956
V100k_P5_S1337,100000,0.05,1337,Trad+Multi,0.8022140418844402,0.894448596165828,0.13697980467542445,0.8571178181138303
V100k_P5_S1337,100000,0.05,1337,Tradicional,0.8062809427639416,0.8933125861835737,0.1369248765471631,0.8593822430017751
V100k_P5_S2025,100000,0.05,2025,Adapt+Multi,0.7091208932138676,0.7935480769299975,0.1486755132552381,0.7819961767236862
V100k_P5_S2025,100000,0.05,2025,Adaptativo,0.6978717535306177,0.7944085912725206,0.14071148454068783,0.8053592012741837
V100k_P5_S2025,100000,0.05,2025,Trad+Multi,0.7958643761044223,0.8876654098355756,0.1439684169710756,0.8550559925423648
V100k_P5_S2025,100000,0.05,2025,Tradicional,0.7963559991842877,0.8878094346023052,0.14320254999631904,0.8552382146339906
V100k_P5_S42,100000,0.05,42,Adapt+Multi,0.6944360580453536,0.8006347117827224,0.13559950018664113,0.8066411156705562
V100k_P5_S42,100000,0.05,42,Adaptativo,0.6815997895151941,0.7982412392962074,0.14198535190643985,0.803003555496238
V100k_P5_S42,100000,0.05,42,Trad+Multi,0.8055753240827963,0.8936743694968686,0.13284879566527963,0.8616460695189408
V100k_P5_S42,100000,0.05,42,Tradicional,0.8077491396934625,0.8948912200774113,0.13244821415767338,0.8627610017659498
V10k_P1_S1337,10000,0.01,1337,Adapt+Multi,0.4371908930055715,0.5640893232825476,0.1447987461643989,0.8073950748748219
V10k_P1_S1337,10000,0.01,1337,Adaptativo,0.45276802610337924,0.5680033994441407,0.1424166920687479,0.8079691205563262
V10k_P1_S1337,10000,0.01,1337,Trad+Multi,0.5495164756925377,0.6676458730056937,0.1766516533342203,0.8218443392388826
V10k_P1_S1337,10000,0.01,1337,Tradicional,0.5487810550043327,0.667982922344476,0.17703931157175581,0.8215607515264527
V10k_P1_S2025,10000,0.01,2025,Adapt+Multi,0.46659727022104175,0.6017433466432655,0.14823641611059352,0.7825287612423107
V10k_P1_S2025,10000,0.01,2025,Adaptativo,0.4468290646746839,0.5788542020437484,0.14737711718402396,0.7902733197231476
V10k_P1_S2025,10000,0.01,2025,Trad+Multi,0.555565359460222,0.7074625638603512,0.18516813919146383,0.8134251593397049
V10k_P1_S2025,10000,0.01,2025,Tradicional,0.5441631121323354,0.7165941400509248,0.18418115237831348,0.8110900608681225
V10k_P1_S42,10000,0.01,42,Adapt+Multi,0.44739242878852065,0.5915348375597813,0.14884001062694757,0.7907758143356286
V10k_P1_S42,10000,0.01,42,Adaptativo,0.46661938015999105,0.5759790949994006,0.15155474286657608,0.7739279076030876
V10k_P1_S42,10000,0.01,42,Trad+Multi,0.5504971596933195,0.7026558885736104,0.18876973337767508,0.8099368337731754
V10k_P1_S42,10000,0.01,42,Tradicional,0.545107234578381,0.6972386570991365,0.18879468599836546,0.8087482495970395
V10k_P5_S1337,10000,0.05,1337,Adapt+Multi,0.6940722913436397,0.8096088251326539,0.13823633782739053,0.8134844877984274
V10k_P5_S1337,10000,0.05,1337,Adaptativo,0.6762967563984863,0.786109644485706,0.146863420078939,0.8060811266779111
V10k_P5_S1337,10000,0.05,1337,Trad+Multi,0.8043080586018694,0.9007928681181302,0.13729148754402132,0.8557766969391971
V10k_P5_S1337,10000,0.05,1337,Tradicional,0.8014211883538127,0.9044615501494051,0.13580204741615293,0.8531068050205786
V10k_P5_S2025,10000,0.05,2025,Adapt+Multi,0.7030003120778542,0.8103462490311144,0.13510417020046656,0.8274893767963526
V10k_P5_S2025,10000,0.05,2025,Adaptativo,0.7054847099563303,0.8123871073865006,0.1350828287830958,0.830468039150008
V10k_P5_S2025,10000,0.05,2025,Trad+Multi,0.8130408525670911,0.8802150500734248,0.1286743025107554,0.8695108915855593
V10k_P5_S2025,10000,0.05,2025,Tradicional,0.8132266500919179,0.8720245055305912,0.128157863292241,0.8691475116184953
V10k_P5_S42,10000,0.05,42,Adapt+Multi,0.6798689056625067,0.8021276733447389,0.14592485177617587,0.7991137418721983
V10k_P5_S42,10000,0.05,42,Adaptativo,0.6780510304175835,0.7981605507226424,0.14629195727524621,0.8005620287567506
V10k_P5_S42,10000,0.05,42,Trad+Multi,0.7937800063280153,0.8950977511610847,0.14616605429541382,0.8495944644741704
V10k_P5_S42,10000,0.05,42,Tradicional,0.7918425355524779,0.8897359087769168,0.14633310806700484,0.8485552156446329
V50k_P1_S1337,50000,0.01,1337,Adapt+Multi,0.47121096344975666,0.5860189506459167,0.14471517725965877,0.7957789561877191
V50k_P1_S1337,50000,0.01,1337,Adaptativo,0.4687641230508403,0.5739187636288596,0.14648691426149274,0.7955776501982385
V50k_P1_S1337,50000,0.01,1337,Trad+Multi,0.5470293678520952,0.7081741504925011,0.18286072982700433,0.8121569928086715
V50k_P1_S1337,50000,0.01,1337,Tradicional,0.5462712738423707,0.7040640738692674,0.1817689358777539,0.8119371102474371
V50k_P1_S2025,50000,0.01,2025,Adapt+Multi,0.4668095801647795,0.585697649947281,0.14279935761839466,0.7993822580531383
V50k_P1_S2025,50000,0.01,2025,Adaptativo,0.47457404045801194,0.5775057120295037,0.14485939391318967,0.7962692801338
V50k_P1_S2025,50000,0.01,2025,Trad+Multi,0.5513074818961984,0.710023435896065,0.1821921575179883,0.8144014468715728
V50k_P1_S2025,50000,0.01,2025,Tradicional,0.5504868581505077,0.7080502524258185,0.18233581509529972,0.8139067698086099
V50k_P1_S42,50000,0.01,42,Adapt+Multi,0.46473674172100815,0.5827167868634072,0.1419406376080771,0.8028785405547505
V50k_P1_S42,50000,0.01,42,Adaptativo,0.47005231120993457,0.5705470654136724,0.14196912404781314,0.8002107552033616
V50k_P1_S42,50000,0.01,42,Trad+Multi,0.55793670919907,0.7073528058951785,0.1802656794587011,0.8175251709832027
V50k_P1_S42,50000,0.01,42,Tradicional,0.5548041298250719,0.7027679225075757,0.1777694523399791,0.8168899733954711
V50k_P5_S1337,50000,0.05,1337,Adapt+Multi,0.7100379999343981,0.8084117060245651,0.13811127949878207,0.8132258274356661
V50k_P5_S1337,50000,0.05,1337,Adaptativo,0.6876952081636166,0.8078048608638442,0.13931650323610748,0.8126342794709991
V50k_P5_S1337,50000,0.05,1337,Trad+Multi,0.8039358776775392,0.8970801482830287,0.13398942015191329,0.8585285130107726
V50k_P5_S1337,50000,0.05,1337,Tradicional,0.8081656167158419,0.897391754696363,0.13352790458221417,0.8606475862957107
V50k_P5_S2025,50000,0.05,2025,Adapt+Multi,0.7134425810950984,0.807815384057883,0.13917752194108857,0.8047450777099443
V50k_P5_S2025,50000,0.05,2025,Adaptativo,0.7086697611317492,0.8042336878277363,0.14073049179034228,0.8069603059693091
V50k_P5_S2025,50000,0.05,2025,Trad+Multi,0.8025166171089728,0.8999592459029088,0.13969280680541896,0.8534440661216728
V50k_P5_S2025,50000,0.05,2025,Tradicional,0.8036601125101677,0.899247023412545,0.1387785855752387,0.8539786756319305
V50k_P5_S42,50000,0.05,42,Adapt+Multi,0.6940482737574887,0.7977911198319995,0.1385398685921798,0.8134711419006648
V50k_P5_S42,50000,0.05,42,Adaptativo,0.6752362824801885,0.7831678329328114,0.14547527958752915,0.8041018163978615
V50k_P5_S42,50000,0.05,42,Trad+Multi,0.7967047307180856,0.8938244844285017,0.13676936877611498,0.854958270051582
V50k_P5_S42,50000,0.05,42,Tradicional,0.7986532940452079,0.8915319585156123,0.13607993003685837,0.8554190226427314
